code,Local authority,EV chargers,50kW+ EV chargers,EV chargers per 100k,50kW+ EV chargers per 100k,PiV_cars_2025Q3,BEV_cars_2025Q3,chargers_per_1000_PiVs,rapid_per_1000_PiVs,rapid_share,chargers_per_1000_BEVs,rapid_per_1000_BEVs
E09000030,Tower Hamlets,2507.0,32.0,755.4,9.6,9516.0,2134.0,263.4510298444725,3.362757461118117,0.012764260071798962,1174.7891283973759,14.99531396438613
E09000012,Hackney,1496.0,19.0,560.8,7.1,6116.0,1706.0,244.6043165467626,3.106605624591236,0.01270053475935829,876.905041031653,11.137162954279017
E09000028,Southwark,1852.0,33.0,588.3,10.5,8832.0,2615.0,209.69202898550722,3.736413043478261,0.017818574514038878,708.2217973231358,12.619502868068833
E09000031,Waltham Forest,1594.0,41.0,569.8,14.7,8918.0,2392.0,178.73962771921956,4.5974433729535775,0.025721455457967377,666.3879598662206,17.140468227424748
E09000013,Hammersmith and Fulham,2653.0,57.0,1406.0,30.2,18382.0,6699.0,144.32597105864434,3.100859536503101,0.02148511119487373,396.0292580982236,8.508732646663681
E09000032,Wandsworth,1708.0,38.0,505.8,11.3,13414.0,3583.0,127.3296555837185,2.8328611898017,0.02224824355971897,476.6955065587496,10.605637733742673
E09000019,Islington,712.0,31.0,319.2,13.9,6404.0,1897.0,111.18051217988757,4.840724547158026,0.04353932584269663,375.3294675803901,16.341591987348444
E09000020,Kensington and Chelsea,917.0,2.0,634.5,1.4,9852.0,2732.0,93.07754770604953,0.20300446609825415,0.0021810250817884407,335.6515373352855,0.7320644216691069
E09000027,Richmond upon Thames,1217.0,31.0,618.8,15.8,13488.0,3723.0,90.22835112692763,2.2983392645314353,0.025472473294987676,326.8869191512221,8.3266183185603
E09000022,Lambeth,710.0,39.0,224.0,12.3,8670.0,2403.0,81.89158016147636,4.498269896193772,0.054929577464788736,295.4640033291719,16.229712858926344
E09000024,Merton,903.0,25.0,413.2,11.4,11250.0,3131.0,80.26666666666667,2.2222222222222223,0.02768549280177187,288.4062599808368,7.9846694346854035
E09000007,Camden,781.0,31.0,360.0,14.3,10948.0,3536.0,71.33723054439167,2.831567409572525,0.03969270166453265,220.8710407239819,8.766968325791856
E09000005,Brent,1212.0,30.0,343.4,8.5,20232.0,6231.0,59.905100830367736,1.4827995255041517,0.024752475247524754,194.5113143957631,4.814636494944632
E09000001,City of London,89.0,7.0,589.0,46.3,2110.0,819.0,42.18009478672985,3.3175355450236967,0.07865168539325842,108.66910866910867,8.547008547008549
E09000018,Hounslow,599.0,102.0,200.1,34.1,14614.0,3983.0,40.98809360886821,6.979608594498426,0.17028380634390652,150.38915390409238,25.608837559628423
E09000021,Kingston upon Thames,404.0,49.0,233.9,28.4,9896.0,2876.0,40.82457558609539,4.951495553759094,0.12128712871287128,140.4728789986092,17.037552155771905
E09000003,Barnet,1044.0,84.0,257.7,20.7,26160.0,8374.0,39.908256880733944,3.211009174311927,0.08045977011494253,124.67160257941246,10.031048483401003
E09000004,Bexley,426.0,50.0,166.1,19.5,11060.0,3075.0,38.51717902350814,4.520795660036167,0.11737089201877934,138.53658536585368,16.260162601626018
E09000025,Newham,365.0,29.0,97.5,7.7,10752.0,2351.0,33.94717261904761,2.697172619047619,0.07945205479452055,155.25308379413016,12.33517652062952
E09000033,Westminster,2805.0,68.0,1335.7,32.4,85030.0,39968.0,32.988357050452784,0.7997177466776432,0.024242424242424242,70.18114491593275,1.7013610888710968
E09000014,Haringey,324.0,38.0,122.8,14.4,9942.0,2613.0,32.58901629450815,3.8221685777509555,0.11728395061728394,123.99540757749713,14.54267125908917
E09000023,Lewisham,264.0,50.0,87.6,16.6,8354.0,2351.0,31.601627962652625,5.985156811108451,0.1893939393939394,112.29264142917907,21.26754572522331
E09000009,Ealing,709.0,61.0,183.7,15.8,23190.0,7290.0,30.573523070288918,2.6304441569642085,0.08603667136812412,97.25651577503429,8.367626886145406
E09000026,Redbridge,442.0,41.0,137.6,12.8,15810.0,4213.0,27.956989247311828,2.593295382669197,0.09276018099547512,104.91336339900309,9.731782577735581
E09000008,Croydon,440.0,87.0,107.5,21.3,17564.0,5089.0,25.05124117513095,4.953313595991801,0.19772727272727272,86.46099430143445,17.095696600510905
E09000011,Greenwich,230.0,73.0,76.8,24.4,9666.0,2727.0,23.794744465135526,7.552244982412581,0.3173913043478261,84.34176751008435,26.769343601026772
E09000010,Enfield,296.0,75.0,90.4,22.9,13604.0,3680.0,21.75830638047633,5.513084386945017,0.2533783783783784,80.43478260869564,20.380434782608695
E09000029,Sutton,192.0,42.0,89.5,19.6,10216.0,2978.0,18.794048551292093,4.111198120595145,0.21875,64.47280053727333,14.103425117528543
E09000002,Barking and Dagenham,175.0,32.0,75.2,13.7,10050.0,2630.0,17.412935323383085,3.1840796019900495,0.18285714285714286,66.53992395437263,12.167300380228136
E09000015,Harrow,216.0,26.0,79.8,9.6,16118.0,4661.0,13.401166397816105,1.6131033627000868,0.12037037037037036,46.34198669813345,5.5782021025531
E09000016,Havering,169.0,61.0,61.2,22.1,13140.0,3573.0,12.861491628614916,4.642313546423136,0.3609467455621302,47.299188357122866,17.072488105233695
E09000006,Bromley,194.0,61.0,57.9,18.2,18702.0,5319.0,10.373222115281788,3.2616832424339646,0.31443298969072164,36.47302124459485,11.468321112991163
E09000017,Hillingdon,248.0,86.0,75.3,26.1,28040.0,7599.0,8.84450784593438,3.067047075606277,0.3467741935483871,32.63587314120279,11.317278589288065
